30 9 20
44 17 23
23 21 39
48 35 25
1 14 21
41 50 18
27 10 27
32 50 15
5 28 20
26 48 8
45 44 27
32 46 26
27 43 36
30 2 34
40 21 1
20 11 48
46 22 47
0 28 34
9 37 19
19 35 6
35 38 50
19 49 32
36 8 40
5 17 14
35 35 14
15 29 34
1 33 27
39 2 17
39 12 26
21 40 2
11 1 13
48 39 14
7 27 7
28 6 7
31 30 7
29 27 16
29 30 27
46 8 5
30 48 47
38 3 44
1 31 2
47 48 37
19 38 2
11 19 8
27 15 6
19 30 13
18 1 23
26 43 30
10 19 28
36 41 36
34 27 3
15 13 49
14 17 22
2 0 12
33 7 1
49 34 47
42 2 35
13 26 42
50 16 11
28 38 43
50 5 40
4 47 16
25 45 26
9 38 17
46 7 39
47 5 32
16 9 47
38 25 49
48 30 8
48 21 38
28 6 4
40 35 46
40 29 15
28 5 11
9 15 19
40 22 31
46 47 14
9 24 43
3 35 44
0 18 41
20 40 9
4 4 21
31 23 47
23 33 12
20 44 17
50 13 25
12 16 46
4 43 21
43 5 41
15 14 8
6 26 2
47 46 11
44 27 29
40 46 40
31 40 43
20 1 49
27 27 16
19 9 1
37 40 34
28 20 50
29 14 34
28 3 14
42 38 30
42 34 14
36 20 46
27 18 9
2 42 34
6 43 19
0 18 45
48 21 33
21 10 23
28 28 19
16 31 44
24 32 29
43 48 34
27 41 45
47 38 45
12 5 38
37 25 25
39 13 32
12 18 10
40 40 41
9 28 38
8 12 17
49 30 8
48 37 30
0 46 48
7 27 50
39 14 39
11 37 0
22 33 19
6 41 7
46 41 42
3 14 42
36 26 17
11 28 17
43 9 26
21 50 49
36 28 48
30 11 3
30 42 5
26 11 41
16 14 50
7 16 48
1 27 42
26 8 19
41 41 15
16 14 28
15 32 44
20 8 0
22 27 48
34 14 27
45 40 1
14 0 37
26 43 19
34 26 40
9 31 48
21 49 47
38 7 28
17 41 26
38 39 24
48 2 32
15 36 33
11 27 4
30 43 7
26 40 33
9 3 46
30 48 1
5 12 32
32 39 36
4 14 15
0 42 3
4 9 14
7 22 16
50 36 45
2 13 39
4 12 30
31 3 1
31 36 48
49 44 39
7 16 47
33 41 24
34 6 17
0 0 45
31 32 2
29 16 40
7 14 35
30 32 39
4 35 40
23 24 42
8 14 6
28 15 25
50 45 38
42 32 0
14 9 21
11 10 42
41 34 4
25 36 35
38 31 19
8 24 31
2 29 41
44 27 2
46 46 24
2 25 30
48 45 33
30 34 44
11 36 3
6 39 49
26 10 29
34 35 26
30 5 50
15 21 27
46 37 0
26 20 1
43 0 34
20 46 50
30 25 40
42 36 18
34 3 48
5 48 46
37 16 20
46 27 49
28 45 1
24 23 32
34 44 49
3 1 50
12 31 5
15 19 10
37 46 43
45 10 36
24 36 12
0 31 41
21 29 30
41 10 43
41 24 15
34 26 34
27 22 38
10 20 9
18 21 8
22 21 50
39 10 46
41 15 5
38 8 17
0 32 28
7 1 27
33 50 2
22 36 21
32 43 25
13 34 16
31 17 43
46 21 30
21 13 16
35 33 1
19 12 40
31 1 7
37 47 8
29 41 47
20 28 24
6 25 28
2 8 6
7 6 39
38 36 27
0 31 9
4 0 7
24 15 17
33 7 24
43 3 19
31 34 34
44 50 48
48 44 29
21 33 3
11 48 9
27 35 49
15 3 10
10 10 26
32 17 47
38 4 50
48 13 50
29 34 39
50 13 30
11 26 27
40 13 5
32 17 3
1 6 1
47 8 27
49 18 3
5 50 15
47 11 12
8 6 15
32 11 17
28 6 36
33 7 35
30 1 1
3 45 3
32 44 50
24 3 16
4 13 4
